med	you
topotecan	0.5667601177753312
brd-k89997465	0.01128003656701422
isradipine	0.8838690496274498
citalopram	-1.0774661316222476
ketamine	-0.3981291194273166
varenicline	0.08874910655468951
clonazepam	-1.2894515622386467
chir-99021	-0.9693030915406593
verapamil	-0.948446334881974
clozapine	-0.29529724431905546
lamotrigine	0.22777094344498205
riluzole	1.0649727634524009
ziprasidone	-0.22614321956252184
bg-1005	-0.21838122105027236
risperidone	0.7054602379950267
zopiclone	-0.7913934176229924
brd-a26030894	-0.4537617762445424
lurasidone	-1.249284893151194
roflumilast	-0.3888895406615268
ly-2365109	0.0745657610652785
rolipram	-0.09943163325182768
lithium-chloride	-1.1362994263374684
doconexent	0.21958758705752454
methylphenidate	-0.17721121545712726
ruboxistaurin	-0.7172345212971
minocycline	1.0288334428027857
doxycycline	-0.7940919040011477
brd-a58781082	-1.0118519990392236
halcinonide	-0.17846526253895112
nsc-693868	-0.7813693803665525
brd-k81807412	-0.16958052813729638
aloisine	0.15573820220950446
pseudoephedrine	1.1088932408027954
tws-119	1.3286318035105904
brl-50481	0.7278215160064122
md-920	-0.4449959751174019
strophanthidin	-0.9198899946955075
tyrphostin-46	-0.5046318935881047
caffeic-acid	-0.019481830436940625
fluticasone	-0.9353348208957339
dnqx	-0.2891746061366282
zaprinast	-0.10358210415884206
rs-504393	0.25956156986877854
ar-a014418	-0.9054600764793732
piretanide	0.3387773937279019
rottlerin	-0.8004837843698817
irl-2500	-0.6786542500364512
h-89	0.27520425556040445
catechin	0.3019054151830957
diphenyleneiodonium	-0.10834977187135125
rev-5901	-0.2535298521746665
cyclopamine	-0.7769936258518038
biotin	1.123680793976483
ergometrine	-0.691791877029007
ntzdpa	0.5887267168651483
ag-879	0.03583719580015944
mrs-1845	1.4903828029755635
bapta-am	0.36518206043224133
am-404	-1.0462327743867208
isoeugenol	-0.1924198530209785
olvanil	0.7288686125274583
dichlorobenzamil	0.8924622772438574
brd-a39747742	-1.144523186041337
xaliproden	-0.5816990281533678
t-98475	1.0591881634782463
cuneatin	-0.39194441148767617
lylamine	-0.056176968600019014
scopolamine	0.4263298566024644
odq	-0.10663871947057532
irilin-a	-0.6437779706664332
bis-tyrphostin	0.8419709391511545
hydrastinine	0.392898165556522
scoulerine	0.7205915009814766
melperone	-0.005403640800415965
eicosatrienoic-acid	-1.1206372708952403
ecopipam	0.5521019598752975
linoleamide	-0.5297968561104949
bml-190	-0.4979251934774593
cfm-1571	0.2502089349994173
pinocembrin	-0.2690248656964146
ivachtin	-0.5763282412314616
dr-2313	1.2976864477833518
jnj-16259685	-0.4917998247638957
ml-3163	0.3737538077243832
lawsone	0.5502985058492272
tubaic-acid	1.0949513947955745
ici-162846	0.026304628720604958
ipratropium	-0.4275247573915628
fit	0.37003105501674105
gw-583340	0.029572921570288617
danazol	0.16176601755132847
sb-225002	0.24779410788742764
ym-298198	-0.44595223332743145
cardiogenol-c	1.44160289635126
u-74389f	0.3809503762242463
biochanin-a	-1.3064727778279037
damnacanthal	0.47977886025020205
vinpocetine	-0.09807551218544384
moexipril	0.36705278274904274
pd-407824	0.16845586236538293
metergoline	1.8343783297921445
be-2254	0.4217457139538246
brd-k34533029	1.1925639707192563
valyltryptophan	-0.48683792306821405
piperacetazine	-0.8895085640052366
cimetidine	-0.20391575474469803
lysergol	0.13101819218837588
isoflupredone-acetate	-0.8452015973787672
obaa	0.9246219215531666
brd-k96527333	-0.32831963499525624
luzindole	0.5685181093710163
lonidamine	-0.5068793474310689
milrinone	0.3135415201346023
pirfenidone	-1.0580635154406166
picotamide	-0.6676561121915816
brd-k97330509	-0.99053484120836
w-9	0.5084886117486718
pi-828	1.559939295260117
clobenpropit	1.2258937965083634
brd-k78844995	0.6324620299996585
diclofenamide	-1.0857044066537551
proxymetacaine	0.9542307493844525
pnu-120596	-0.8214094042656728
pyrrolidine-dithiocarbamate	0.23501351566134857
mrs-1754	-0.9750798277850029
ag-494	0.5795968775629916
quinisocaine	0.1874129796879551
aq-ra741	-0.7337747084607513
arp-101	0.46919348327537685
cp-93129	0.015288458747000301
herniarin	0.2798877470214619
calpeptin	0.29600136339106453
nafadotride	-0.11537655972164974
cycloheximide	-1.0572802907874226
bw-b70c	0.32845449989305286
naproxen	0.7420788449962011
ozagrel	0.961419464998977
delcorine	-0.005632887394783908
jte-907	1.592134798184866
sarmentogenin	-1.268149554736555
cefotiam	-0.35031986577310564
ungerine	0.04369573286828455
tubocurarine	-0.46118735343557155
brd-a49906757	-1.1191704240345246
sb-222200	0.67460655278311
clobetasol	-0.05214703643740693
aminogenistein	0.08514057551414803
isoxsuprine	0.3916718985248089
ngb-2904	-0.031314260474611263
kn-62	1.1926854787782535
limonin	-0.17659207957953477
bucladesine	0.35515099032831
selinidin	-0.12842727056306538
fk-888	1.5854441681514886
naftifine	-0.2053546207910057
sant-1	0.5054211460699596
irsogladine	-0.46848771334319383
brd-k84421793	1.0664033987988923
l-689560	0.023417937919294633
nnc-05-2090	0.682974644578196
brd-k74430258	0.9046818741664321
beta-ccp	0.5655251787425576
brd-k76293260	-0.4547153593827367
fusaric-acid	0.35204961124536827
rs-17053	0.17679552081143726
ly-456236	0.976735773375876
benzanthrone	0.34814412408279793
anandamide	-0.5865558651192105
pd-169316	0.02906144982580316
umbelliferone	-0.2399880384791483
brd-k68336408	0.269302302669266
emd-41000	0.2877854995267975
npc-15199	-0.9865224998589556
dmp-543	-5.005560961310068e-4
ib-meca	-0.11839578400642951
l-655240	-1.9895231442494756
jnj-10191584	-1.2161986456264076
maackiain	0.20058903896513547
tyrphostin	-0.6580169243009235
nisoxetine	0.7444085372968776
mibefradil	0.012490639446514566
sertaconazole	1.164897412091998
m-3m3fbs	0.023502469701367115
meclocycline	0.7624613434000627
mead-ethanolamide	0.07741518073977231
bh3i-1	-0.4592799219356309
psb-11	-0.12315980464607706
kf-38789	-0.8425649469549077
gbr-13069	1.5151356012200907
brd-k07888196	0.6243239821940922
bu-239	-0.3402650055586136
brd-k06024458	-1.4368080061148207
er-27319	0.14257412447962745
omdm-2	-0.12657373808850966
gr-144053	-0.5534824414191558
hispidin	0.5752858561735701
brd-k12244279	-0.6986354465495026
cdc	0.38064494774474383
cosmosiin	-0.0328623962801927
ag-592	-0.46579324034918007
decafluorobutane	-0.3076950635155576
spironolactone	0.27563008263131117
brd-k61737877	-1.8404454068540224
brd-k92073408	-0.3377900356095162
resveratrol	0.6771650001305867
mammea-a	0.7408256242232314
vuf-5681	-0.5165389380774982
ly-255283	-0.20100003279762582
carbofuran	-0.24433563015412627
graveoline	0.07079132906288328
fluticasone-propionate	-0.4451954031387377
mevastatin	0.949191494281919
dy-131	-0.9258956350378683
y-134	0.17513724762564706
thioperamide	0.6868945130021824
emodic-acid	0.5539205493496087
brd-k63938928	0.676723517185288
coumaric-acid	-0.4886614242221098
etifenin	0.2045664153011029
farnesylthiotriazole	0.5017535060266926
zd-2079	-0.5786972154170072
mdm2-inhibitor	1.0893034480314099
ly-165163	0.7466170787746234
way-213613	-0.3550934388791792
brd-k14441456	0.16291796264833508
naltriben	-1.1013186139463682
l-733060	-0.06985547008800427
aminomethyltransferase	1.0293493663705624
ibudilast	0.8395420506170287
cgp-12177	0.08013753641269246
pp-3	-0.7011350965357561
gw-311616	-1.1991571023987648
nadolol	-0.9205540563177916
l-152804	-0.28167795156425884
talniflumate	0.5764128229836978
cp-55940	1.6087542193758384
methysergide	1.17430333630293
cgp-52432	1.2414928667840408
deltaline	-0.12518641361498428
nomilin	-0.5730749774418292
esculin	0.887075988948807
skf-81297	1.5356357928087268
gr-32191	0.4985605785236837
relcovaptan	0.48954646541980135
austricine	-0.018494094263359177
azacyclonol	0.7844593380678586
fraxidin	-0.6643994097966268
su-6656	0.1909741071229433
adipiodone	0.12195212060740643
tetramethylsilane	0.7013405020456733
bd-1008	0.7906034576242801
rimcazole	1.1643716945692812
ttnpb	0.8893267247617687
brd-a63667919	0.04455074397670419
ponalrestat	-0.5025465891917568
pd-123319	0.05836597531041709
zk-93426	0.808847086164846
skf-77434	1.3134615564580194
dydrogesterone	0.3136673614704675
dapt-gsi-ix	0.6714897304838219
diprotin-a	0.3183384438316419
pg-9	1.3658803918872091
ryanodine	0.03821006421470898
cromakalim	0.17100025316042172
gw-9508	-0.9868466320616133
norketamine	-0.0030150383507360204
o-2050	-0.2880592960661502
ub-165	0.7390952972680314
oxybuprocaine	-0.13258449805389116
bmy-14802	-1.1329759214077375
zk-164015	1.2409128965399234
sdz-21009	0.19085211349746367
sericetin	-0.1719075336051319
sb-205384	0.11325229042487593
jx-401	1.2030548057461898
isamoltane	0.3031220192520163
terguride	-0.26197253430276546
dpn	-0.8597840224732072
brd-k07079548	0.483857469013013
methyllycaconitine	-0.15867047944557902
cinnarizine	0.7077182008070739
ku-14r	0.9333193106990846
brd-k09635134	-0.6602791407923123
l-368899	1.600630093839557
brd-k09668667	0.23673282919981545
reboxetine	-1.1116636322715083
saquinavir	1.766659229218879
azasetron	-0.8092159711487706
zd-7155	1.37524585491338
naltrindole	-0.40351569870550724
brd-k71860425	0.741715371330437
tenidap	-0.12076828892985855
peucedanin	0.26839804413631135
brd-a89208012	0.7798869176742519
purmorphamine	2.429240912429056
cgp-55845	0.17960261622124934
brd-k74112339	-0.032825349548940785
cilastatin	-0.7860472985332749
brd-k74305673	-0.3597280594979615
fpl-55712	0.7514744367887592
benzydamine	0.27303087740626797
ro-60-0175	0.45641502464342515
brd-k76274772	1.8574900227283477
phtpp	-0.44066979013912033
pinacidil	0.9365310314292467
ro-04-5595	-0.2883999404527158
rutin	-0.45328896820496944
nemonapride	-0.4999962406235613
cyclosporin-a	1.0507096847848854
lfm-a12	0.6056147483813337
gr-127935	0.961781280969819
hemado	-0.1704691383085715
brd-a01295252	1.3170334044251373
syrosingopine	0.734870298482403
ici-89406	-0.4802386864989876
cilnidipine	-0.682371261032448
eudesmic-acid	0.010459947663731496
sb-205607	1.2465665092970086
ly-278584	0.4890333472874228
diazepam	0.508871801614791
estriol	0.10748830704103485
paclitaxel	-0.28696748668755173
ciprofibrate	-0.977801441392594
ro-08-2750	0.838749196460925
foliosidine	0.3969325455531743
mmpx	-1.4204727844816833
brd-a51929314	0.3814933090996408
pd-166793	1.2646936067988401
ginsenoside	-0.9942218894578294
fr-139317	0.474419097145443
cabergoline	0.14446826167528085
u-18666a	0.7212261891419848
ebpc	-1.178591378431521
clofarabine	0.5710731949618223
sdz-nkt-343	-0.4664389698704076
brd-k76064317	1.2980221876603573
gr-89696	1.3683290785291762
ly-320135	0.41859472260193353
ntncb	0.43592034562647414
leflunomide	1.151349433964398
pnu-96415e	0.6527475466235397
l-732138	0.39410242915395144
ioxaglic-acid	1.4080923665058065
vinblastine	0.08098358653110997
dibenzepin	0.5634448942583501
brd-a06276885	0.49895115641601223
diltiazem	0.07833511364754164
brefeldin-a	-0.5024674955676701
sch-58261	0.2865614278974414
whi-p154	1.0741626749985342
lobelanidine	0.29551953076816917
d-64406	0.0814475876697962
wr-216174	-0.8337958045385883
brd-k23922020	-0.3231583778566236
ic-261	-1.2616668252204106
sb-269970	-1.226275807523189
ganglioside	-0.20027105764605388
levcromakalim	-0.604129513834592
brd-k72541103	-0.09718864880991063
dinoprostone	-0.4915946994834926
rg-13022	1.1670775028332276
dmab-anabaseine	0.9845492183575284
brd-k04546108	-1.3304953267441866
brd-k28761384	0.6321504898947944
angiogenesis-inhibitor	-0.10083680933811863
l-750667	-0.23386763756202067
oxindole-i	-0.3385097731082001
dictamnine	-0.3759044848394027
brd-k10136726	0.46740859069014545
arachidonamide	1.5857023595720587
syk-inhibitor	-0.15216540364075315
bd-1063	0.3105299810441428
ryuvidine	-0.6271179147360114
brd-a49680073	-1.3178787412530353
z-leu3-vs	-0.24444836421809235
pifithrin	0.31827047856110446
skatole	-0.8398474186270525
ag-370	0.5686315964646872
papaverine	0.5102842749430673
pd-102807	0.7808403935638824
parachlorophenol	-0.045760481326356794
morphothebaine	-0.326739837722573
pargyline	-0.7838575499701403
dcebio	0.023669423328723585
phenazopyridine	1.4476708771327644
zk-93423	0.709581842173336
pheniramine	-0.33994004493288627
arvanil	0.6596898675279966
phenylbutazone	0.3243222684486967
gp-2a	1.02583161019579
fenofibrate	-1.0640451659772747
az-10417808	0.6903863807854004
flufenamic-acid	-0.01728354324708571
calycanthine	-0.2795600032728232
pp-1	0.8684383332392795
brd-k60174629	0.05000641829218251
anisomycin	-1.9700742202212287
ly-288513	1.1393077919372259
yc-1	-1.386063454933491
mometasone	-1.3893079815395477
rotenonic-acid	0.7970433720723737
veratridine	-0.2910660525440406
kynuramine	0.3538443922664128
sb-218795	0.4616689079179581
ro-10-5824	0.576729051710452
eo-1428	0.5979123492679967
tetramethyl-haematoxylone	2.153848100031239
glimepiride	-0.23202191992913004
felamidin	0.7752735661084482
fenbendazole	0.4134719454328681
ha-1004	-0.12861089549762666
febuxostat	0.35956277007736087
bd-1047	-0.4502985150269596
mefexamide	-0.8331149298223033
hesperidin	-0.2481747409648035
probucol	-0.9496130474958795
betamethasone	0.4444686950749318
pregnenolone	0.6518495493564272
mebendazole	-0.6326319626905567
amthamine	-0.9792183465694863
nalbuphine	1.5793041196906963
brd-k49657628	-0.09714631454762741
gr-79236	0.13484762956346735
dobutamine	0.48482814100465815
baeomycesic-acid	-0.4678909972479221
ncs-382	0.4500727180938851
ciglitazone	-1.090011957716136
oxymetazoline	-0.15009365636153876
mdl-28170	-0.1540305733880301
gliquidone	-0.46272095621116033
jte-013	0.2817307536033587
rs-16566	-1.5860890249041413
rs-67333	-0.7742003827083526
ro-19-4605	-0.30950651038441307
lysylphenylalanyl-tyrosine	-0.5880299708102145
carmoxirole	-0.8523070834721074
flavoxate	-0.0769787853474346
ro-15-4513	-0.3510345762278298
evoxine	-0.5331273346453165
wiskostatin	-0.9552834719083264
flunisolide	-0.7670217793648503
prostaglandin-b2	-0.2952574436643041
gavestinel	-0.5930704277963391
osthol	-0.6538800174788978
rs-67506	1.23036758161856
l-693403	1.827560911759086
